"children_youth_justice","adult_carers_isolated_18","adult_carers_isolated_all_ages","adult_carers_not_isolated","alcohol_rx_18","alcohol_rx_all_ages","alcohol_admissions_f","alchol_admissions_m","alcohol_admissions_p","children_leaving_care","depression","domestic_abuse","self_harm_female","self_harm_male","self_harm_persons","opiates","lt_health_problems","lt_unepmloyment","looked_after_children","marital_breakup","old_pople_alone","alone","self_reported_well_being","smi","social_care_mh","homeless","alcohol_rx","drug_rx_non_opiate","drug_rx_opiate","suicide_rate","unemployment"
27.5,27.7,42,2.54606010434515,6.29054925591514,913.17,1889.63,1353.36,7.87543802608287,36.1931397548737,5.79867657078841,21.6449216405548,96.175674893612,41.4283346996149,67.9050611155516,9.65454819731483,13.9895499086009,0.606311861947453,66.6282800032903,12.1820404621998,3.14884139695778,12.8433556050483,19.23,1.29408956174031,235.301933905071,5.42393005558854,42.8030303,35.58282209,6.048906049,10.2806186659294,6.2
30.7,48.7,40.6,1.40994566164473,3.17369791254112,770.37,1622.6,1165.61,6.00952452944289,22.8018171294266,5.098451980592,21.6449216405548,75.8484581113471,36.4179634247036,55.5582695657402,7.3494985337966,14.5798473997724,0.194478077301899,31.5717467945907,7.72992387354841,3.79161919230282,8.0212685150019,17.15,0.985550588931447,489.777134968115,5.71783165639821,40.5904059,40,8.88030888,8.177241199078,4.8
50.5,58.5,49.5,3.91039145221474,12.3232406680711,1089.07,2351.3,1672.89,8.45012366034625,32.7786182551689,7.31501614284773,33.7603870459882,259.88152208071,200.473855975792,229.984638656448,17.7162347910197,23.1614291302647,1.05027428650788,105.90015128593,12.344398340249,6.08622147083686,14.7017817347488,17.67,0.848376203777046,582.145160134699,1.15807759119861,36.49635036,19.35483871,6.046511628,10.11325235815,9
34.6,47.8,41.9,1.3854583947363,3.37802777143569,790.43,1673.34,1176.88,3.78057248669084,30.4411194952309,4.93482355645044,21.6449216405548,88.3416661173203,63.7694594291602,75.3601666668977,5.72042845625216,17.2590544277332,0.312689386613026,42.4330756600188,10.4701209267595,5.72790033563739,11.972198531003,17.66,0.683534535031145,210.134692893314,3.93086419753086,40.14084507,35.31598513,4.979253112,8.11250286351036,4.4
23.2,28.3,52.5,1.61462158960819,4.46667857780954,635.77,1198.31,895.81,6.86056010723095,27.7261762830288,7.39533584323325,17.7819428229425,200.649129388736,92.5162007592759,145.634228455405,8.23311424975528,18.7293230214141,0.115608992601024,79.0196024066321,11.786499256393,6.20670561200476,12.4809656967247,18.76,0.809891942224821,134.190921290084,0.504143816245727,21.39917695,29.31034483,2.375809935,10.9646855607556,3.8
22.9,45.3,45.1,1.43781774204385,2.8129269221294,738.68,1523.65,1096.4,4.83158030586565,19.2996132508874,7.87614790535191,17.0525035297321,133.4380270173,74.0383653230035,103.217831991663,5.6787565323841,14.3225017964952,0.199066764139176,38.2208027125417,10.958637055229,4.89635002828344,11.6960896208384,19.78,0.763302452080053,532.605367454578,2.62847401547693,37.79232928,40.28497409,9.02455209,6.90045947187271,3.8
32.1,34,38.5,1.92408371106527,4.50593557451797,899.88,1802.34,1320.38,5.69290306073496,35.3546781310103,6.57100146937666,21.6449216405548,99.0983519490663,59.7757595485555,79.4821653816652,10.4616202728407,14.3022457800362,0.199719368681955,48.7894558207942,10.1712563869832,4.09876247534867,9.46386405565306,23.53,0.792708788842238,101.815059823227,3.04193056261846,38.39479393,33.68983957,9.431137725,10.7845119368301,4.4
28.7,31.1,34.6,2.00909482927594,4.39060723666157,875.4,1922.62,1360.23,7.65690861982289,27.9557181424623,5.1261871731939,21.6449216405548,177.582843317884,99.0538836337834,136.55233498914,8.3823120119186,13.7830420110491,0.256016385048643,44.7291490279397,10.4290993162866,3.43346787796524,10.3131040121289,18.33,0.825073351413966,386.606117609043,5.21715693824118,47.42647059,49.5,7.296849088,9.22306679346719,5.4
40,48.1,51.5,1.78755404489138,3.53107966503174,668.95,1286.43,955.25,7.6668671076368,29.6278739037687,6.84938485442828,18.3785576294519,226.682409599868,124.661396405126,173.271440438446,6.61736084079408,22.5986330597042,0.311569187053677,80.9828553369677,14.1094740849043,7.51983726339249,14.9252503496294,18.51,1.12165237178365,355.572795448668,1.41465197971802,53.23741007,31,5.555555556,13.3303699226182,5.3
28.1,27.3,43.7,3.19346576230941,8.47010454340585,1035.03,2189.39,1567.94,10.103303439664,51.0496302014593,7.94933242040397,21.6449216405548,111.526801182927,84.1242292347184,98.56442903093,12.9041474215514,15.6560339599757,0.516266778670307,88.4030181537465,10.6612810155799,3.79595670900497,18.1078677286218,21.2,1.51660202595447,113.810240392519,3.67148060266963,34.68697124,37.88819876,6.193806194,8.85282924008385,6.8
30.1,39.4,36.2,2.01680410524758,6.92254382071468,650.44,1282.63,942,4.33325157386968,26.4737027885634,7.94923550798442,21.6449216405548,78.6423487054606,40.4368221564839,59.1963669074619,11.3405428944694,12.3347767713632,0.329534532472882,37.0631839039887,11.3564762748851,5.2841175074869,23.421979107215,24.56,1.47738051053652,1016.70568702254,7.55345522156802,33.45070423,37.69633508,10.64301552,9.34836327248066,5.8
